sample_size,num_bootstrap,plugin,act_plugin,corr,adj_corr,plugin_wc,corr_wc,adj_corr_wc
100,1000,1.174969632524395,1.07,1.1004291258145942,1.136508838312239,0.10496963252439495,0.030429125814594116,0.06650883831223897
100,5000,1.1559324283300385,1.065,1.077832722090089,1.1143134796175447,0.09093242833003856,0.01283272209008901,0.04931347961754473
100,10000,1.187891025948338,1.065,1.1133115508381386,1.150358247889843,0.122891025948338,0.04831155083813865,0.08535824788984314
100,15000,1.1811624583153217,1.075,1.1016654900841052,1.1445188030980087,0.10616245831532178,0.026665490084105237,0.06951880309800873
100,20000,1.1145269311070656,1.065,1.0350443148359243,1.068722369578251,0.04952693110706563,-0.02995568516407565,0.003722369578251117
500,1000,1.1014813462858895,1.08,1.0731057320687545,1.0859304911874534,0.02148134628588938,-0.00689426793124559,0.005930491187453368
500,5000,1.1259527872071546,1.08,1.0928139073475371,1.1088855337211965,0.045952787207154566,0.012813907347537068,0.0288855337211964
500,10000,1.1098376986933642,1.09,1.08492569492444,1.0969264546137385,0.01983769869336416,-0.00507430507556017,0.00692645461373842
500,15000,1.0970807705051175,1.08,1.0677169841781016,1.0831270635754893,0.01708077050511747,-0.012283015821898502,0.0031270635754891973
500,20000,1.1054307160203907,1.07,1.0754540918471185,1.0903948042107712,0.03543071602039061,0.005454091847118425,0.02039480421077111
1000,1000,1.0996789685567212,1.09,1.0818079757604306,1.0909173063346267,0.009678968556721124,-0.00819202423956944,0.0009173063346266108
1000,5000,1.112018406660368,1.09,1.095048713334089,1.1039163003720578,0.022018406660367917,0.00504871333408885,0.01391630037205771
1000,10000,1.133505431414512,1.0950000000000002,1.1210673682350545,1.127422283095388,0.038505431414511904,0.02606736823505429,0.03242228309538775
1000,15000,1.1183095969605368,1.0950000000000002,1.104578726489534,1.1118110305169637,0.023309596960536583,0.009578726489533729,0.016811030516963532
1000,20000,1.1124875681661142,1.09,1.0955734290318913,1.1039054005937372,0.02248756816611408,0.005573429031891175,0.013905400593737127
1500,1000,1.1061530943604805,1.0950000000000002,1.0956459940425034,1.1009871962179254,0.011153094360480287,0.0006459940425032062,0.005987196217925206
1500,5000,1.1296492846461554,1.08,1.1197608624474504,1.1247763014055943,0.04964928464615537,0.03976086244745036,0.04477630140559419
1500,10000,1.088357430180093,1.09,1.076476317600644,1.0821600773782294,-0.0016425698199071803,-0.013523682399356085,-0.00783992262177069
1500,15000,1.1110873322193686,1.09,1.0979512058061562,1.104515983117363,0.021087332219368538,0.007951205806156159,0.014515983117362907
1500,20000,1.1270020654275266,1.0950000000000002,1.1180637077397413,1.1224888968030264,0.03200206542752637,0.02306370773974109,0.02748889680302624
2000,1000,1.0965399043808064,1.1,1.0859526807007804,1.0915547348976464,-0.0034600956191936927,-0.014047319299219652,-0.00844526510235366
2000,5000,1.1060826527129008,1.1,1.0980293958352574,1.1021697257545682,0.00608265271290076,-0.0019706041647427064,0.002169725754568086
2000,10000,1.0955184810454293,1.1,1.0828990265873508,1.0889936832532983,-0.004481518954570829,-0.017100973412649267,-0.011006316746701827
2000,15000,1.0902810444571958,1.09,1.0789344907054796,1.0845518606674573,0.0002810444571956783,-0.011065509294520437,-0.005448139332542734
2000,20000,1.1201289191104966,1.0950000000000002,1.114034904850955,1.1170759316192345,0.025128919110496417,0.019034904850954826,0.022075931619234268
2500,1000,1.0992447560760548,1.0950000000000002,1.0932097460848522,1.0961530914398552,0.004244756076054568,-0.0017902539151479768,0.0011530914398549807
2500,5000,1.1006655580104676,1.1,1.0945329955195553,1.097576319944573,0.0006655580104675263,-0.005467004480444793,-0.0024236800554271465
2500,10000,1.095728417411226,1.1,1.0870606075279547,1.0915329806331742,-0.0042715825887740255,-0.012939392472045341,-0.008467019366825923
2500,15000,1.1027646531091262,1.1,1.096528544287313,1.0994819008874412,0.002764653109126103,-0.0034714557126871437,-0.0005180991125588452
2500,20000,1.0898153702764406,1.0950000000000002,1.0809359117960453,1.0853759348376673,-0.005184629723559597,-0.014064088203954883,-0.00962406516233294
5000,1000,1.1016107976303213,1.1,1.0999935803754664,1.100805362629966,0.0016107976303212368,-6.419624533737789e-06,0.0008053626299659999
5000,5000,1.0943694828663033,1.1,1.0924343405918262,1.0934117261814529,-0.005630517133696777,-0.007565659408173886,-0.006588273818547208
5000,10000,1.091824030171178,1.1,1.0889236472660406,1.0903793606126577,-0.008175969828822183,-0.01107635273395946,-0.009620639387342367
5000,15000,1.098875359690131,1.1,1.096680483792432,1.0977577828701706,-0.0011246403098690294,-0.003319516207568096,-0.002242217129829527
5000,20000,1.1074089003627035,1.1,1.1054170149459153,1.106405418801945,0.007408900362703363,0.005417014945915177,0.0064054188019448954
